count,actor,concept,title
0,SpaceX,science and innovation,Scientists Publish the First Direct Measurement of Space Debris Pollution
1,SpaceX,societal development,Metal pollution from a rocket reentry detected for the first time
2,SpaceX,governing orbital sustainability,‘Uncontrolled experiment:’ Study links harmful atmospheric metals to spacecraft reentry
3,SpaceX,science and innovation,Tracking reentries of Starlink satellites during the rising phase of solar cycle 25
4,United Nations,governing orbital sustainability,Space Debris: What It Is and Why It’s a Problem
5,United States,governing orbital sustainability,Space Debris: What It Is and Why It’s a Problem
6,United Nations,space as a common resource,Space Debris: What It Is and Why It’s a Problem
7,United States,governing orbital sustainability,Space Debris: What It Is and Why It’s a Problem
8,United States,governing orbital sustainability,Space Debris: What It Is and Why It’s a Problem
9,United Nations,international cooperation,Space Debris: What It Is and Why It’s a Problem
10,United States,governing orbital sustainability,Space Debris: What It Is and Why It’s a Problem
11,SpaceX,profit,Space Debris: What It Is and Why It’s a Problem
12,SpaceX,national economic gains,Space Debris: What It Is and Why It’s a Problem
13,SpaceX,science and innovation,Space Debris: What It Is and Why It’s a Problem
14,United Nations,governing orbital sustainability,Emerging NGSO constellations: spectral coexistence with GSO satellite communication systems
15,SpaceX,international cooperation,Emerging NGSO constellations: spectral coexistence with GSO satellite communication systems
16,SpaceX,science and innovation,Emerging NGSO constellations: spectral coexistence with GSO satellite communication systems
17,SpaceX,national economic gains,Emerging NGSO constellations: spectral coexistence with GSO satellite communication systems
18,United Nations,space as a common resource,Emerging NGSO constellations: spectral coexistence with GSO satellite communication systems
19,United Nations,international cooperation,Emerging NGSO constellations: spectral coexistence with GSO satellite communication systems
20,SpaceX,societal development,Emerging NGSO constellations: spectral coexistence with GSO satellite communication systems
21,United Nations,diplomatic tool,Emerging NGSO constellations: spectral coexistence with GSO satellite communication systems
22,United Nations,space as a common resource,"Satellites, science, and the new fight for spectrum in space"
23,United Nations,governing orbital sustainability,"Satellites, science, and the new fight for spectrum in space"
24,SpaceX,profit,"Satellites, science, and the new fight for spectrum in space"
25,SpaceX,societal development,"Satellites, science, and the new fight for spectrum in space"
26,China,national economic gains,"Satellites, science, and the new fight for spectrum in space"
27,United Nations,international cooperation,"Satellites, science, and the new fight for spectrum in space"
28,SpaceX,science and innovation,"Satellites, science, and the new fight for spectrum in space"
29,United States,science and innovation,Rubin Observatory’s First Images Are Stunning
30,United States,societal development,Rubin Observatory’s First Images Are Stunning
31,United States,international cooperation,Rubin Observatory’s First Images Are Stunning
32,United States,national economic gains,Rubin Observatory’s First Images Are Stunning
33,United States,space as a common resource,Rubin Observatory’s First Images Are Stunning
34,United States,diplomatic tool,Space’s Industrial Revolution
35,United States,science and innovation,Space’s Industrial Revolution
36,United States,national economic gains,Space’s Industrial Revolution
37,United States,societal development,Space’s Industrial Revolution
38,United States,international cooperation,Space’s Industrial Revolution
39,United States,science and innovation,Starfish Space announce Autonomous Rendezvous and Proximity mission success with Impulse Space
40,United States,national economic gains,Starfish Space announce Autonomous Rendezvous and Proximity mission success with Impulse Space
41,SpaceX,profit,Starfish Space announce Autonomous Rendezvous and Proximity mission success with Impulse Space
42,SpaceX,science and innovation,Starfish Space announce Autonomous Rendezvous and Proximity mission success with Impulse Space
43,SpaceX,national economic gains,Starfish Space announce Autonomous Rendezvous and Proximity mission success with Impulse Space
44,United States,science and innovation,Docking Orion: Choreographing a Space Dance
45,United States,national economic gains,Docking Orion: Choreographing a Space Dance
46,United States,international cooperation,Docking Orion: Choreographing a Space Dance
47,SpaceX,science and innovation,Docking Orion: Choreographing a Space Dance
48,SpaceX,science and innovation,Two space startups prove you don’t need to break the bank to rendezvous in space
49,SpaceX,national economic gains,Two space startups prove you don’t need to break the bank to rendezvous in space
50,SpaceX,profit,Two space startups prove you don’t need to break the bank to rendezvous in space
51,United States,international cooperation,"U.S., UK Space Commands execute first joint satellite maneuvers"
52,UK,international cooperation,"U.S., UK Space Commands execute first joint satellite maneuvers"
53,France,international cooperation,"U.S., UK Space Commands execute first joint satellite maneuvers"
54,United States,international cooperation,"U.S., UK Space Commands execute first joint satellite maneuvers"
55,UK,international cooperation,"U.S., UK Space Commands execute first joint satellite maneuvers"
56,France,international cooperation,"U.S., UK Space Commands execute first joint satellite maneuvers"
57,United States,science and innovation,Northrop Secures Space Force Deal for Satellite Support
58,China,governing orbital sustainability,China could be about to attempt a landmark satellite refuelling test
59,China,national economic gains,China could be about to attempt a landmark satellite refuelling test
60,China,science and innovation,China could be about to attempt a landmark satellite refuelling test
61,United States,international cooperation,What problem is charging for Space Situational Awareness supposed to solve?
62,United States,space as a common resource,What problem is charging for Space Situational Awareness supposed to solve?
63,United States,profit,What problem is charging for Space Situational Awareness supposed to solve?
64,United States,diplomatic tool,What problem is charging for Space Situational Awareness supposed to solve?
65,United States,governing orbital sustainability,What problem is charging for Space Situational Awareness supposed to solve?
66,United States,science and innovation,WORLD: Space
67,United States,governing orbital sustainability,WORLD: Space
68,United States,international cooperation,WORLD: Space
69,United States,diplomatic tool,WORLD: Space
70,United States,profit,WORLD: Space
71,United States,societal development,WORLD: Space
72,United States,national economic gains,WORLD: Space
73,United States,governing orbital sustainability,OSC Seeks Contractors for CASS Pilot
74,United States,science and innovation,OSC Seeks Contractors for CASS Pilot
75,United States,profit,OSC Seeks Contractors for CASS Pilot
76,United States,national economic gains,OSC Seeks Contractors for CASS Pilot
77,United Nations,governing orbital sustainability,Space sustainability and the role of space situational awareness
78,United Nations,space as a common resource,Space sustainability and the role of space situational awareness
79,France,international cooperation,Space sustainability and the role of space situational awareness
80,UK,international cooperation,Space sustainability and the role of space situational awareness
81,United States,international cooperation,Space sustainability and the role of space situational awareness
82,UK,governing orbital sustainability,Space sustainability and the role of space situational awareness
83,United States,diplomatic tool,Space sustainability and the role of space situational awareness
84,France,diplomatic tool,Space sustainability and the role of space situational awareness
85,United States,governing orbital sustainability,Space sustainability and the role of space situational awareness
86,SpaceX,national economic gains,Space sustainability and the role of space situational awareness
87,SpaceX,national economic gains,Managing space domain awareness data has become a greater challenge than collecting it
88,United States,governing orbital sustainability,Managing space domain awareness data has become a greater challenge than collecting it
89,SpaceX,governing orbital sustainability,OBSERVER: Space Situational Awareness — Europe’s Eyes on Space
90,SpaceX,governing orbital sustainability,"Amid Crowded Skies, FAA Kills Rule Aimed at Regulating Space Junk"
91,SpaceX,governing orbital sustainability,"Amid Crowded Skies, FAA Kills Rule Aimed at Regulating Space Junk"
92,SpaceX,national economic gains,"Amid Crowded Skies, FAA Kills Rule Aimed at Regulating Space Junk"
93,SpaceX,profit,"Amid Crowded Skies, FAA Kills Rule Aimed at Regulating Space Junk"
94,United States,governing orbital sustainability,"Amid Crowded Skies, FAA Kills Rule Aimed at Regulating Space Junk"
95,United States,profit,"Amid Crowded Skies, FAA Kills Rule Aimed at Regulating Space Junk"
